Sample	Chloroquine	Pyrimethamine	Sulfadoxine	Mefloquine	Artemisinin	Piperaquine	SP (uncomplicated)	SP (IPTp)	AS-MQ	DHA-PPQ	HRP2	HRP3	HRP2 and HRP3
PD0095-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Resistant	Sensitive	Sensitive	nodel	nodel	nodel
PD0096-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Resistant	Sensitive	Sensitive	nodel	uncallable	nodel
PD0097-C	Resistant	Resistant	Resistant	Resistant	Sensitive	Sensitive	Resistant	Resistant	Sensitive	Sensitive	nodel	nodel	nodel
PD0098-C	Resistant	Resistant	Resistant	Resistant	Sensitive	Sensitive	Resistant	Resistant	Sensitive	Sensitive	nodel	nodel	nodel
PD0101-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Resistant	Sensitive	Sensitive	nodel	nodel	nodel
PD0102-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Undetermined	Resistant	Resistant	Sensitive	Sensitive	uncallable	uncallable	uncallable
PD0103-C	Resistant	Resistant	Resistant	Resistant	Sensitive	Sensitive	Resistant	Resistant	Sensitive	Sensitive	nodel	nodel	nodel
PD0105-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PD0106-C	Resistant	Resistant	Resistant	Resistant	Sensitive	Sensitive	Resistant	Undetermined	Sensitive	Sensitive	nodel	nodel	nodel
PD0109-C	Resistant	Resistant	Resistant	Resistant	Sensitive	Sensitive	Resistant	Resistant	Sensitive	Sensitive	uncallable	nodel	nodel
PD0110-C	Resistant	Resistant	Resistant	Sensitive	Undetermined	Sensitive	Resistant	Undetermined	Sensitive	Sensitive	nodel	nodel	nodel
PD0111-C	Resistant	Resistant	Resistant	Undetermined	Sensitive	Sensitive	Resistant	Resistant	Sensitive	Sensitive	uncallable	uncallable	uncallable
PD0112-C	Resistant	Resistant	Resistant	Resistant	Sensitive	Sensitive	Resistant	Resistant	Sensitive	Sensitive	nodel	nodel	nodel
PD0113-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PD0115-Cx	Resistant	Resistant	Resistant	Resistant	Sensitive	Sensitive	Resistant	Resistant	Sensitive	Sensitive	nodel	nodel	nodel
PD0116-Cx	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Resistant	Sensitive	Sensitive	nodel	nodel	nodel
PD0117-C	Resistant	Resistant	Resistant	Resistant	Sensitive	Sensitive	Resistant	Resistant	Sensitive	Sensitive	nodel	nodel	nodel
PD0118-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Resistant	Sensitive	Sensitive	nodel	nodel	nodel
PD0119-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Resistant	Sensitive	Sensitive	nodel	nodel	nodel
PD0121-C	Resistant	Resistant	Resistant	Undetermined	Sensitive	Sensitive	Resistant	Undetermined	Sensitive	Sensitive	uncallable	uncallable	uncallable
PD0122-C	Resistant	Resistant	Resistant	Undetermined	Sensitive	Undetermined	Resistant	Resistant	Sensitive	Sensitive	uncallable	uncallable	uncallable
PD0123-C	Resistant	Resistant	Resistant	Resistant	Sensitive	Sensitive	Resistant	Resistant	Sensitive	Sensitive	nodel	nodel	nodel
PD0124-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Undetermined	Sensitive	Sensitive	nodel	nodel	nodel
PD0125-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PD0126-C	Resistant	Resistant	Resistant	Sensitive	Resistant	Sensitive	Resistant	Resistant	Sensitive	Sensitive	nodel	nodel	nodel
PD0127-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PD0128-C	Resistant	Resistant	Resistant	Resistant	Sensitive	Sensitive	Resistant	Resistant	Sensitive	Sensitive	nodel	nodel	nodel
PD0129-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Resistant	Sensitive	Sensitive	nodel	del	nodel
PD0130-C	Resistant	Resistant	Resistant	Resistant	Sensitive	Sensitive	Resistant	Resistant	Sensitive	Sensitive	nodel	nodel	nodel
PD0131-C	Resistant	Resistant	Resistant	Resistant	Sensitive	Sensitive	Resistant	Resistant	Sensitive	Sensitive	nodel	nodel	nodel
PD0132-C	Resistant	Resistant	Resistant	Resistant	Sensitive	Sensitive	Resistant	Resistant	Sensitive	Sensitive	nodel	nodel	nodel
PD0133-C	Resistant	Resistant	Resistant	Resistant	Sensitive	Sensitive	Resistant	Resistant	Sensitive	Sensitive	nodel	nodel	nodel
